stock_code,snapshot_at,price,open,high,low,volume
1104,2026-08-07 12:08:41,26.600000381469727,26.399999618530273,26.75,26.399999618530273,197968
1102,2026-08-07 12:08:41,32.95000076293945,32.79999923706055,33.04999923706055,32.79999923706055,2541143
1103,2026-08-07 12:08:41,13.050000190734863,12.949999809265137,13.149999618530273,12.949999809265137,137829
1101,2026-08-07 12:08:41,24.399999618530273,24.299999237060547,24.75,24.299999237060547,10931753
1108,2026-08-07 12:08:41,12.050000190734863,12.050000190734863,12.100000381469727,12.0,168278
1109,2026-08-07 12:08:41,13.550000190734863,13.550000190734863,13.649999618530273,13.550000190734863,74846
1201,2026-08-07 12:08:41,12.100000381469727,12.0,12.149999618530273,12.0,132431
1110,2026-08-07 12:08:41,15.850000381469727,15.75,15.949999809265137,15.75,135055
1203,2026-08-07 12:08:41,47.400001525878906,47.900001525878906,48.0,47.349998474121094,3000
1210,2026-08-07 12:08:41,52.400001525878906,52.400001525878906,53.099998474121094,52.20000076293945,3059767
1213,2026-08-07 12:08:41,7.75,7.599999904632568,7.75,7.590000152587891,12000
1215,2026-08-07 12:08:41,107.5,107.0,109.0,107.0,331192
1216,2026-08-07 12:08:41,75.30000305175781,73.5999984741211,75.69999694824219,73.5,18085355
1217,2026-08-07 12:08:41,9.770000457763672,9.760000228881836,9.829999923706055,9.760000228881836,167766
1218,2026-08-07 12:08:41,15.550000190734863,15.5,15.649999618530273,15.5,772116
1219,2026-08-07 12:08:41,10.699999809265137,10.649999618530273,10.75,10.600000381469727,178399
1225,2026-08-07 12:08:41,24.149999618530273,23.75,24.700000762939453,23.75,182000
1220,2026-08-07 12:08:41,11.25,11.100000381469727,11.25,11.100000381469727,17053
1227,2026-08-07 12:08:41,29.200000762939453,28.950000762939453,29.299999237060547,28.850000381469727,609127
1229,2026-08-07 12:08:41,40.70000076293945,40.599998474121094,41.0,40.599998474121094,936796
1231,2026-08-07 12:08:41,80.80000305175781,79.9000015258789,81.0,79.9000015258789,143602
1232,2026-08-07 12:08:41,155.5,155.5,157.5,155.0,187761
1233,2026-08-07 12:08:41,28.799999237060547,28.899999618530273,28.899999618530273,28.799999237060547,5104
1234,2026-08-07 12:08:41,33.400001525878906,33.29999923706055,33.599998474121094,33.29999923706055,98485
1235,2026-08-07 12:08:41,36.70000076293945,36.70000076293945,36.70000076293945,36.70000076293945,0
1236,2026-08-07 12:08:41,25.5,24.950000762939453,25.899999618530273,24.899999618530273,276266
1256,2026-08-07 12:08:41,177.5,177.5,179.0,177.0,18940
1301,2026-08-07 12:08:41,56.0,55.79999923706055,57.20000076293945,55.400001525878906,16693910
1303,2026-08-07 12:08:41,186.5,189.0,193.0,178.5,93248507
1304,2026-08-07 12:08:41,11.800000190734863,11.699999809265137,11.949999809265137,11.699999809265137,2028510
1305,2026-08-07 12:08:41,11.550000190734863,11.5,11.800000190734863,11.449999809265137,954794
1307,2026-08-07 12:08:41,32.5,32.20000076293945,32.75,32.20000076293945,221479
1308,2026-08-07 12:08:41,13.399999618530273,13.100000381469727,13.5,13.100000381469727,1479336
1309,2026-08-07 12:08:41,12.800000190734863,12.699999809265137,13.100000381469727,12.699999809265137,901908
1310,2026-08-07 12:08:41,7.980000019073486,8.0,8.199999809265137,7.96999979019165,2514029
1312,2026-08-07 12:08:41,12.050000190734863,12.149999618530273,12.399999618530273,12.0,2940948
1313,2026-08-07 12:08:41,11.550000190734863,11.699999809265137,12.0,11.5,2658143
1314,2026-08-07 12:08:41,7.840000152587891,7.849999904632568,7.960000038146973,7.760000228881836,10593566
1316,2026-08-07 12:08:41,10.100000381469727,10.149999618530273,10.149999618530273,10.050000190734863,438272
1319,2026-08-07 12:08:41,76.0999984741211,77.0,78.30000305175781,76.0,2959071
1321,2026-08-07 12:08:41,31.950000762939453,31.950000762939453,32.04999923706055,31.75,36004
1323,2026-08-07 12:08:41,19.899999618530273,19.950000762939453,19.950000762939453,19.850000381469727,13849
1324,2026-08-07 12:08:41,9.979999542236328,10.050000190734863,10.100000381469727,9.960000038146973,11016
1326,2026-08-07 12:08:41,58.900001525878906,59.29999923706055,60.5,58.099998474121094,17730670
1325,2026-08-07 12:08:41,26.549999237060547,26.5,26.549999237060547,26.299999237060547,84258
1337,2026-08-07 12:08:41,4.639999866485596,4.659999847412109,4.679999828338623,4.630000114440918,153377
1338,2026-08-07 12:08:41,15.199999809265137,15.399999618530273,15.399999618530273,15.100000381469727,15001
1339,2026-08-07 12:08:41,45.45000076293945,45.20000076293945,45.5,44.79999923706055,92735
1340,2026-08-07 12:08:41,5.070000171661377,5.059999942779541,5.079999923706055,5.050000190734863,92695
1341,2026-08-07 12:08:41,58.599998474121094,58.099998474121094,58.599998474121094,58.099998474121094,2000
1342,2026-08-07 12:08:41,104.5,102.5,105.5,102.5,290114
1402,2026-08-07 12:08:41,27.200000762939453,26.899999618530273,27.600000381469727,26.899999618530273,12117001
1409,2026-08-07 12:08:41,22.549999237060547,22.649999618530273,22.799999237060547,22.399999618530273,2420068
1410,2026-08-07 12:08:41,25.549999237060547,25.600000381469727,25.600000381469727,25.450000762939453,2000
1413,2026-08-07 12:08:41,9.34000015258789,9.239999771118164,9.34000015258789,9.239999771118164,0
1414,2026-08-07 12:08:41,19.149999618530273,19.399999618530273,19.5,18.950000762939453,245583
1416,2026-08-07 12:08:41,10.949999809265137,10.800000190734863,10.949999809265137,10.75,277872
1417,2026-08-07 12:08:41,8.210000038146973,8.229999542236328,8.239999771118164,8.210000038146973,24113
1418,2026-08-07 12:08:41,18.0,18.0,18.049999237060547,17.850000381469727,8000
1419,2026-08-07 12:08:41,64.0,63.900001525878906,64.5999984741211,63.79999923706055,27904
1423,2026-08-07 12:08:41,35.5,35.5,35.5,35.5,10050
1432,2026-08-07 12:08:41,15.100000381469727,15.050000190734863,15.199999809265137,15.050000190734863,47976
1434,2026-08-07 12:08:41,17.200000762939453,17.100000381469727,17.399999618530273,17.100000381469727,803962
1435,2026-08-07 12:08:41,23.299999237060547,21.75,23.299999237060547,21.549999237060547,66634
1436,2026-08-07 12:08:41,36.54999923706055,35.400001525878906,36.54999923706055,35.400001525878906,182001
1437,2026-08-07 12:08:41,29.850000381469727,29.549999237060547,29.850000381469727,29.5,151051
1438,2026-08-07 12:08:41,22.399999618530273,22.200000762939453,22.5,22.200000762939453,25000
1439,2026-08-07 12:08:41,27.700000762939453,28.350000381469727,28.350000381469727,27.700000762939453,19058
1440,2026-08-07 12:08:41,12.600000381469727,12.600000381469727,12.75,12.5,973063
1442,2026-08-07 12:08:41,30.049999237060547,29.399999618530273,30.149999618530273,29.399999618530273,230728
1443,2026-08-07 12:08:41,25.600000381469727,25.649999618530273,25.649999618530273,25.600000381469727,0
1444,2026-08-07 12:08:41,7.179999828338623,7.199999809265137,7.28000020980835,7.170000076293945,625943
1445,2026-08-07 12:08:41,10.300000190734863,10.399999618530273,10.649999618530273,10.300000190734863,54000
1446,2026-08-07 12:08:41,13.899999618530273,13.850000381469727,13.949999809265137,13.75,136119
1447,2026-08-07 12:08:41,7.130000114440918,7.099999904632568,7.239999771118164,7.079999923706055,1149415
1449,2026-08-07 12:08:41,12.550000190734863,12.5,12.550000190734863,12.399999618530273,196869
1451,2026-08-07 12:08:41,17.700000762939453,17.649999618530273,17.850000381469727,17.649999618530273,116565
1452,2026-08-07 12:08:41,11.300000190734863,11.149999618530273,11.300000190734863,11.0,55503
1453,2026-08-07 12:08:41,11.050000190734863,10.949999809265137,11.050000190734863,10.949999809265137,9088
1454,2026-08-07 12:08:41,12.800000190734863,13.0,13.0,12.800000190734863,3817
1455,2026-08-07 12:08:41,9.039999961853027,8.859999656677246,9.100000381469727,8.859999656677246,474721
1456,2026-08-07 12:08:41,14.300000190734863,14.050000190734863,14.399999618530273,14.050000190734863,17476
1457,2026-08-07 12:08:41,14.050000190734863,14.199999809265137,14.199999809265137,13.899999618530273,162510
1459,2026-08-07 12:08:41,13.050000190734863,12.800000190734863,13.050000190734863,12.800000190734863,102699
1460,2026-08-07 12:08:41,6.630000114440918,6.579999923706055,6.659999847412109,6.550000190734863,154394
1463,2026-08-07 12:08:41,17.799999237060547,17.700000762939453,17.850000381469727,17.700000762939453,13143
1464,2026-08-07 12:08:41,10.399999618530273,10.399999618530273,10.600000381469727,10.350000381469727,276865
1465,2026-08-07 12:08:41,12.399999618530273,12.300000190734863,12.449999809265137,12.300000190734863,36907
1466,2026-08-07 12:08:41,16.100000381469727,16.100000381469727,16.149999618530273,16.0,105231
1467,2026-08-07 12:08:41,9.90999984741211,10.0,10.100000381469727,9.859999656677246,248762
1468,2026-08-07 12:08:41,13.449999809265137,13.399999618530273,13.550000190734863,13.399999618530273,19046
1471,2026-08-07 12:08:41,9.489999771118164,9.260000228881836,9.600000381469727,9.260000228881836,125131
1472,2026-08-07 12:08:41,88.80000305175781,87.0,88.80000305175781,86.9000015258789,19209
1473,2026-08-07 12:08:41,19.899999618530273,19.799999237060547,19.950000762939453,19.799999237060547,18303
1474,2026-08-07 12:08:41,10.0,10.100000381469727,10.100000381469727,10.0,3352
1475,2026-08-07 12:08:41,27.100000381469727,27.399999618530273,27.399999618530273,27.100000381469727,13000
1476,2026-08-07 12:08:41,344.5,360.0,363.0,341.5,2006693
1477,2026-08-07 12:08:41,223.5,226.0,227.5,222.0,1175345
1503,2026-08-07 12:08:41,196.0,199.0,200.5,195.5,584541
1504,2026-08-07 12:08:41,66.69999694824219,67.4000015258789,67.80000305175781,66.4000015258789,2644221
1506,2026-08-07 12:08:41,10.199999809265137,10.300000190734863,10.399999618530273,10.199999809265137,31715
1512,2026-08-07 12:08:41,6.619999885559082,6.639999866485596,6.639999866485596,6.619999885559082,13106
1513,2026-08-07 12:08:41,159.0,160.5,161.5,158.5,741982
1514,2026-08-07 12:08:41,100.0,101.5,102.0,99.9000015258789,526325
1515,2026-08-07 12:08:41,30.75,33.0,33.0,30.5,123973
1517,2026-08-07 12:08:41,11.600000381469727,11.800000190734863,11.800000190734863,11.550000190734863,287298
1519,2026-08-07 12:08:41,658.0,664.0,671.0,656.0,501332
1521,2026-08-07 12:08:41,25.200000762939453,25.299999237060547,25.299999237060547,25.200000762939453,2020
1522,2026-08-07 12:08:41,28.200000762939453,29.399999618530273,29.399999618530273,28.100000381469727,1281131
1524,2026-08-07 12:08:41,27.100000381469727,27.5,27.549999237060547,27.0,480625
1526,2026-08-07 12:08:41,18.549999237060547,19.25,19.450000762939453,18.399999618530273,743246
